,CrossValMeans,CrossValerrors,Algorithm
0,0.887417833000329,0.00030674330479935064,SVC
1,0.8536644673338735,0.002619759359639202,DecisionTree
2,0.8646517653093653,0.004473271086535139,AdaBoost
3,0.875821702415666,0.003014184334101946,RandomForest
4,0.8616690732337713,0.0011299871156959318,ExtraTrees
5,0.8974616421238194,0.003065797315730608,GradientBoosting
6,0.8942048802013087,0.0030335598213334838,MultipleLayerPerceptron
7,0.8862915938668154,0.003354753027731163,KNeighboors
8,0.8956659098847524,0.004312132433109677,LogisticRegression
9,0.8963659462773453,0.002875128909943743,LinearDiscriminantAnalysis
